Title,Brand,Magnitude,Unit,Quantity,MRP,ean_code,TLC,MLC,LLC,Images
"Sanitary Pads - Secure Xl Cottony Soft, with Wings STAYFREE [6] {pc}",STAYFREE,6,pc,6 pads,42,8901012165270,Beauty & Hygiene,Feminine Hygiene,Sanitary Napkins,"https://www.bigbasket.com/media/uploads/p/l/303412_21-stayfree-sanitary-pads-secure-xl-cottony-soft-with-wings.jpg, https://www.bigbasket.com/media/uploads/p/l/303412-2_7-stayfree-sanitary-pads-secure-xl-cottony-soft-with-wings.jpg"
Cottony Sanitary Pads - XL STAYFREE [18] {pc},STAYFREE,18,pc,18 pcs,120,890102165805,Beauty & Hygiene,Feminine Hygiene,Sanitary Napkins,"https://www.bigbasket.com/media/uploads/p/l/40054349_11-stayfree-secure-xl-cottony-soft-sanitary-pads-for-women-with-wings.jpg, https://www.bigbasket.com/media/uploads/p/l/40054349-2_4-stayfree-secure-xl-cottony-soft-sanitary-pads-for-women-with-wings.jpg, https://www.bigbasket.com/media/uploads/p/l/40054349-3_3-stayfree-secure-xl-cottony-soft-sanitary-pads-for-women-with-wings.jpg, https://www.bigbasket.com/media/uploads/p/l/40054349-4_2-stayfree-secure-xl-cottony-soft-sanitary-pads-for-women-with-wings.jpg, https://www.bigbasket.com/media/uploads/p/l/40054349-5_1-stayfree-secure-xl-cottony-soft-sanitary-pads-for-women-with-wings.jpg, https://www.bigbasket.com/media/uploads/p/l/40054349-6_1-stayfree-secure-xl-cottony-soft-sanitary-pads-for-women-with-wings.jpg"
"Gel Bathing Bar - Assorted Fragrances, Fresh Celebration Pack Fiama [375] {g}",Fiama,375,g,375 g,265,40230083,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40230083_1-fiama-fresh-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230083-2_1-fiama-fresh-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230083-3_1-fiama-fresh-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230083-4_1-fiama-fresh-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230083-5_1-fiama-fresh-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230083-6_1-fiama-fresh-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg"
Celebration Pack Gel Bar - Assorted Fragrances Fiama [625] {g},Fiama,625,g,625 g,399,8905110007203,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40106415_4-fiama-gel-bathing-bar-celebration-pack-with-5-unique-gel-bars.jpg, https://www.bigbasket.com/media/uploads/p/l/40106415-2_3-fiama-gel-bathing-bar-celebration-pack-with-5-unique-gel-bars.jpg, https://www.bigbasket.com/media/uploads/p/l/40106415-3_3-fiama-gel-bathing-bar-celebration-pack-with-5-unique-gel-bars.jpg, https://www.bigbasket.com/media/uploads/p/l/40106415-4_3-fiama-gel-bathing-bar-celebration-pack-with-5-unique-gel-bars.jpg, https://www.bigbasket.com/media/uploads/p/l/40106415-5_3-fiama-gel-bathing-bar-celebration-pack-with-5-unique-gel-bars.jpg"
"Gel Bathing Bar - Mega Celebration Pack, Assorted Fragrances Fiama [1000] {g}",Fiama,1000,g,1 kg,640,40230084,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40230084_1-fiama-mega-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230084-2_1-fiama-mega-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230084-3_1-fiama-mega-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230084-4_1-fiama-mega-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230084-5_1-fiama-mega-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg, https://www.bigbasket.com/media/uploads/p/l/40230084-6_1-fiama-mega-celebration-unique-gel-bar-with-skin-conditioner-dermatologically-tested.jpg"
"Bathing Bar - Multi Variant (Buy 4 & Get 1 Free, 125 g each) Fiama [1250] {g}",Fiama,1250,g,2x625 g,798,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/1209345_2-fiama-di-wills-gel-bathing-bar-multi-variant-buy-4-get-1-free-125-g-each.jpg, https://www.bigbasket.com/media/uploads/p/l/1209345-2_1-fiama-di-wills-gel-bathing-bar-multi-variant-buy-4-get-1-free-125-g-each.jpg, https://www.bigbasket.com/media/uploads/p/l/1209345-3_1-fiama-di-wills-gel-bathing-bar-multi-variant-buy-4-get-1-free-125-g-each.jpg, https://www.bigbasket.com/media/uploads/p/l/1209345-4_1-fiama-di-wills-gel-bathing-bar-multi-variant-buy-4-get-1-free-125-g-each.jpg, https://www.bigbasket.com/media/uploads/p/l/1209345-5_1-fiama-di-wills-gel-bathing-bar-multi-variant-buy-4-get-1-free-125-g-each.jpg, https://www.bigbasket.com/media/uploads/p/l/1209345-6_1-fiama-di-wills-gel-bathing-bar-multi-variant-buy-4-get-1-free-125-g-each.jpg"
"Sanitary Pads - Secure Cottony, XL STAYFREE [40] {pc}",STAYFREE,40,pc,40 pcs,275,89010166680,Beauty & Hygiene,Feminine Hygiene,Sanitary Napkins,"https://www.bigbasket.com/media/uploads/p/l/40137730_3-stayfree-secure-cottony-xl-sanitary-pads-for-women.jpg, https://www.bigbasket.com/media/uploads/p/l/40137730-2_2-stayfree-secure-cottony-xl-sanitary-pads-for-women.jpg, https://www.bigbasket.com/media/uploads/p/l/40137730-3_1-stayfree-secure-cottony-xl-sanitary-pads-for-women.jpg, https://www.bigbasket.com/media/uploads/p/l/40137730-4_1-stayfree-secure-cottony-xl-sanitary-pads-for-women.jpg, https://www.bigbasket.com/media/uploads/p/l/40137730-5_1-stayfree-secure-cottony-xl-sanitary-pads-for-women.jpg, https://www.bigbasket.com/media/uploads/p/l/40137730-6_1-stayfree-secure-cottony-xl-sanitary-pads-for-women.jpg"
Secure Cottony XL Sanitary Napkins STAYFREE [120] {pc},STAYFREE,120,pc,3x40 Pads,825,,Beauty & Hygiene,Feminine Hygiene,Sanitary Napkins,"https://www.bigbasket.com/media/uploads/p/l/1212332_1-stayfree-secure-cottony-xl-sanitary-napkins.jpg, https://www.bigbasket.com/media/uploads/p/l/1212332-2_1-stayfree-secure-cottony-xl-sanitary-napkins.jpg, https://www.bigbasket.com/media/uploads/p/l/1212332-3_1-stayfree-secure-cottony-xl-sanitary-napkins.jpg, https://www.bigbasket.com/media/uploads/p/l/1212332-4_1-stayfree-secure-cottony-xl-sanitary-napkins.jpg, https://www.bigbasket.com/media/uploads/p/l/1212332-5_1-stayfree-secure-cottony-xl-sanitary-napkins.jpg, https://www.bigbasket.com/media/uploads/p/l/1212332-6_1-stayfree-secure-cottony-xl-sanitary-napkins.jpg, https://www.bigbasket.com/media/uploads/p/l/1212332-7_1-stayfree-secure-cottony-xl-sanitary-napkins.jpg"
Keratin Smooth Shampoo Tresemme [85] {ml},Tresemme,85,ml,85 ml,80,8909106001374,Beauty & Hygiene,Hair Care,Shampoo & Conditioner,"https://www.bigbasket.com/media/uploads/p/l/40019016_11-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-2_6-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-3_4-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-4_4-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-5_4-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-6_4-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-7_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-8_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-9_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40019016-10_2-tresemme-keratin-smooth-shampoo.jpg"
Keratin Smooth Shampoo Tresemme [185] {ml},Tresemme,185,ml,185 ml,190,8909106001381,Beauty & Hygiene,Hair Care,Shampoo & Conditioner,"https://www.bigbasket.com/media/uploads/p/l/40002096_17-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-2_13-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-3_9-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-4_9-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-5_9-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-6_4-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-7_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-8_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-9_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002096-10_2-tresemme-keratin-smooth-shampoo.jpg"
